us_county,name,state,"Random Number"
60030,"Rose Island, AS",AS,-13.05740669
60040,"Swains Island, AS",AS,-13.84030476
60050,"Western District, AS",AS,-41.72455771
4001,"Apache County, AZ",AZ,-8.97955856
4003,"Cochise County, AZ",AZ,26.32892798
4005,"Coconino County, AZ",AZ,36.08310783
4007,"Gila County, AZ",AZ,-33.28363341
4009,"Graham County, AZ",AZ,-8.242662132
4011,"Greenlee County, AZ",AZ,-39.58592048
4012,"La Paz County, AZ",AZ,-2.244605071
4013,"Maricopa County, AZ",AZ,-37.4382048
4015,"Mohave County, AZ",AZ,43.45149875
4017,"Navajo County, AZ",AZ,-36.67587632
4019,"Pima County, AZ",AZ,28.00719501
4021,"Pinal County, AZ",AZ,44.50521023
4023,"Santa Cruz County, AZ",AZ,-36.84353968
4025,"Yavapai County, AZ",AZ,0.919103584
4027,"Yuma County, AZ",AZ,-27.00745738
6001,"Alameda County, CA",CA,45.83876716
6003,"Alpine County, CA",CA,-37.38927694
6005,"Amador County, CA",CA,-25.85067842
6007,"Butte County, CA",CA,-9.17340891
6009,"Calaveras County, CA",CA,-29.23750301
6011,"Colusa County, CA",CA,-34.97214677
6013,"Contra Costa County, CA",CA,19.73624312
6015,"Del Norte County, CA",CA,40.7841846
6017,"El Dorado County, CA",CA,46.08320711
6019,"Fresno County, CA",CA,-31.36360239
6021,"Glenn County, CA",CA,-33.94851984
6023,"Humboldt County, CA",CA,-8.79584576
6025,"Imperial County, CA",CA,42.33749988
6027,"Inyo County, CA",CA,-12.08200487
6029,"Kern County, CA",CA,-7.086166867
6031,"Kings County, CA",CA,2.683312582
6033,"Lake County, CA",CA,24.98944245
6035,"Lassen County, CA",CA,-32.54986521
6037,"Los Angeles County, CA",CA,-7.478454302
6039,"Madera County, CA",CA,-20.03850575
6041,"Marin County, CA",CA,-26.62009551
6043,"Mariposa County, CA",CA,1.080098955
6045,"Mendocino County, CA",CA,-28.82193553
6047,"Merced County, CA",CA,28.66362142
6049,"Modoc County, CA",CA,-37.71614048
6051,"Mono County, CA",CA,-41.87542185
6053,"Monterey County, CA",CA,2.257143075
6055,"Napa County, CA",CA,-28.5084035
6057,"Nevada County, CA",CA,-31.24856281
6059,"Orange County, CA",CA,3.066008923
6061,"Placer County, CA",CA,4.239045117
6063,"Plumas County, CA",CA,-4.598960605
6065,"Riverside County, CA",CA,-20.70831422
6067,"Sacramento County, CA",CA,3.609188002
6069,"San Benito County, CA",CA,-5.895986234
6071,"San Bernardino County, CA",CA,37.04530226
6073,"San Diego County, CA",CA,-39.75904477
6075,"San Francisco County, CA",CA,45.51024874
6077,"San Joaquin County, CA",CA,-23.48203208
6079,"San Luis Obispo County, CA",CA,-9.72530101
6081,"San Mateo County, CA",CA,-27.57701632
6083,"Santa Barbara County, CA",CA,-5.983791865
6085,"Santa Clara County, CA",CA,46.85865429
6087,"Santa Cruz County, CA",CA,-0.372937945
6089,"Shasta County, CA",CA,17.52421272
6091,"Sierra County, CA",CA,4.056331531
6093,"Siskiyou County, CA",CA,29.89322177
6095,"Solano County, CA",CA,25.50481316
6097,"Sonoma County, CA",CA,-14.10107206
6099,"Stanislaus County, CA",CA,-21.10026523
6101,"Sutter County, CA",CA,-27.62812612
6103,"Tehama County, CA",CA,-30.13669797
6105,"Trinity County, CA",CA,-0.036665676
6107,"Tulare County, CA",CA,-19.61277359
6109,"Tuolumne County, CA",CA,-25.3875049
6111,"Ventura County, CA",CA,-18.37474822
6113,"Yolo County, CA",CA,-49.8958709
6115,"Yuba County, CA",CA,39.30154298
8001,"Adams County, CO",CO,-29.22912926
8003,"Alamosa County, CO",CO,-43.9474577
8005,"Arapahoe County, CO",CO,11.81447078
8007,"Archuleta County, CO",CO,-1.653697391
8009,"Baca County, CO",CO,-42.01235966
8011,"Bent County, CO",CO,-29.73507811
8013,"Boulder County, CO",CO,-1.289332961
8014,"Broomfield County, CO",CO,-15.00151232
8015,"Chaffee County, CO",CO,15.50393846
8017,"Cheyenne County, CO",CO,6.898909777
8019,"Clear Creek County, CO",CO,33.10043373
8021,"Conejos County, CO",CO,23.892613
8023,"Costilla County, CO",CO,41.80834379
8025,"Crowley County, CO",CO,-13.33512495
8027,"Custer County, CO",CO,-41.84560722
8029,"Delta County, CO",CO,8.427773506
8031,"Denver County, CO",CO,-38.56541781
8033,"Dolores County, CO",CO,45.6942649
8035,"Douglas County, CO",CO,-12.01633031
8037,"Eagle County, CO",CO,29.19219677
8041,"El Paso County, CO",CO,-26.35892284
8039,"Elbert County, CO",CO,-2.957893288
8043,"Fremont County, CO",CO,-1.883571068
8045,"Garfield County, CO",CO,3.194315933
8047,"Gilpin County, CO",CO,34.77331793
8049,"Grand County, CO",CO,-12.05256897
8051,"Gunnison County, CO",CO,14.28634613
8053,"Hinsdale County, CO",CO,-42.06666871
8055,"Huerfano County, CO",CO,-40.90434143
8057,"Jackson County, CO",CO,-38.26394011
8059,"Jefferson County, CO",CO,-7.10916128
8061,"Kiowa County, CO",CO,7.075749934
8063,"Kit Carson County, CO",CO,22.30830482
8067,"La Plata County, CO",CO,9.009957409
8065,"Lake County, CO",CO,-41.92872659
8069,"Larimer County, CO",CO,-44.76205655
8071,"Las Animas County, CO",CO,22.04706254
8073,"Lincoln County, CO",CO,21.80419487
8075,"Logan County, CO",CO,27.02139544
8077,"Mesa County, CO",CO,-28.34389894
8079,"Mineral County, CO",CO,36.21265213
8081,"Moffat County, CO",CO,21.91381892
8083,"Montezuma County, CO",CO,-1.747710437
8085,"Montrose County, CO",CO,-41.67861189
8087,"Morgan County, CO",CO,34.23630091
8089,"Otero County, CO",CO,4.607542841
8091,"Ouray County, CO",CO,-43.12897461
8093,"Park County, CO",CO,8.709704249
8095,"Phillips County, CO",CO,1.359551311
8097,"Pitkin County, CO",CO,-32.10490317
8099,"Prowers County, CO",CO,-31.06034554
8101,"Pueblo County, CO",CO,-42.14634722
8103,"Rio Blanco County, CO",CO,-13.75320731
8105,"Rio Grande County, CO",CO,7.312531059
8107,"Routt County, CO",CO,19.77464084
8109,"Saguache County, CO",CO,-48.59220557
8111,"San Juan County, CO",CO,36.04063834
8113,"San Miguel County, CO",CO,-14.24116042
8115,"Sedgwick County, CO",CO,19.98142791
8117,"Summit County, CO",CO,20.20760425
8119,"Teller County, CO",CO,-13.77704006
8121,"Washington County, CO",CO,24.04275402
8123,"Weld County, CO",CO,9.783259244
8125,"Yuma County, CO",CO,-37.59509122
9001,"Fairfield County, CT",CT,1.601601087
9003,"Hartford County, CT",CT,-43.8570644
9005,"Litchfield County, CT",CT,6.66702598
9007,"Middlesex County, CT",CT,39.34549568
9009,"New Haven County, CT",CT,6.637297447
9011,"New London County, CT",CT,3.460846585
9013,"Tolland County, CT",CT,6.370872478
9015,"Windham County, CT",CT,-6.488403541
11001,"District of Columbia, DC",DC,-45.97610023
10001,"Kent County, DE",DE,-17.58796405
10003,"New Castle County, DE",DE,-14.97552599
10005,"Sussex County, DE",DE,49.26887118
12001,"Alachua County, FL",FL,-6.643225505
12003,"Baker County, FL",FL,14.90598099
12005,"Bay County, FL",FL,37.36980148
12007,"Bradford County, FL",FL,19.38098684
12009,"Brevard County, FL",FL,-30.37864555
12011,"Broward County, FL",FL,26.76489433
12013,"Calhoun County, FL",FL,32.90893387
12015,"Charlotte County, FL",FL,-19.58859004
12017,"Citrus County, FL",FL,-42.16671103
12019,"Clay County, FL",FL,-9.837677743
12021,"Collier County, FL",FL,-1.691586308
12023,"Columbia County, FL",FL,-8.837833985
12027,"DeSoto County, FL",FL,-45.40824732
12029,"Dixie County, FL",FL,-13.28103831
12031,"Duval County, FL",FL,-33.50449003
12033,"Escambia County, FL",FL,-0.619354752
12035,"Flagler County, FL",FL,46.62442121
12037,"Franklin County, FL",FL,-9.165264008
12039,"Gadsden County, FL",FL,-9.864855807
12041,"Gilchrist County, FL",FL,-25.83782662
12043,"Glades County, FL",FL,27.21265548
12045,"Gulf County, FL",FL,-16.84635956
12047,"Hamilton County, FL",FL,-9.304776473
12049,"Hardee County, FL",FL,-26.20916289
12051,"Hendry County, FL",FL,-47.9863606
12053,"Hernando County, FL",FL,-24.87071136
12055,"Highlands County, FL",FL,21.86962772
12057,"Hillsborough County, FL",FL,-49.06571958
12059,"Holmes County, FL",FL,1.547666646
12061,"Indian River County, FL",FL,39.3011582
12063,"Jackson County, FL",FL,-39.62128506
12065,"Jefferson County, FL",FL,45.97921616
12067,"Lafayette County, FL",FL,0.640135324
12069,"Lake County, FL",FL,12.38985465
12071,"Lee County, FL",FL,38.50815076
12073,"Leon County, FL",FL,16.8777522
12075,"Levy County, FL",FL,-33.52538015
12077,"Liberty County, FL",FL,-25.99954613
12079,"Madison County, FL",FL,-17.22737652
12081,"Manatee County, FL",FL,-3.660267075
12083,"Marion County, FL",FL,20.64871409
12085,"Martin County, FL",FL,-25.27459253
12086,"Miami-Dade County, FL",FL,22.0022009
12087,"Monroe County, FL",FL,-0.022617439
12089,"Nassau County, FL",FL,34.38245812
12091,"Okaloosa County, FL",FL,-30.28894042
12093,"Okeechobee County, FL",FL,-11.84159051
12095,"Orange County, FL",FL,-13.65004666
12097,"Osceola County, FL",FL,-6.634716167
12099,"Palm Beach County, FL",FL,-5.433414206
12101,"Pasco County, FL",FL,-1.938583283
12103,"Pinellas County, FL",FL,-3.787334732
12105,"Polk County, FL",FL,-2.823542417
12107,"Putnam County, FL",FL,23.28686084
12113,"Santa Rosa County, FL",FL,1.333780068
12115,"Sarasota County, FL",FL,14.7858696
12117,"Seminole County, FL",FL,26.56892908
12109,"Saint Johns County, FL",FL,-34.97233817
12111,"Saint Lucie County, FL",FL,-44.07047415
12119,"Sumter County, FL",FL,3.450845899
12121,"Suwannee County, FL",FL,33.5209529
12123,"Taylor County, FL",FL,-39.46518538
12125,"Union County, FL",FL,23.64982796
12127,"Volusia County, FL",FL,-30.99321712
12129,"Wakulla County, FL",FL,32.38869999
12131,"Walton County, FL",FL,-23.51436322
12133,"Washington County, FL",FL,31.16894228
64002,"State of Chuuk, FM",FM,46.3172726
64005,"State of Kosrae, FM",FM,-4.023020635
64040,"State of Pohnpei, FM",FM,36.97149422
64060,"State of Yap, FM",FM,-11.46932269
13001,"Appling County, GA",GA,0.35093003
13003,"Atkinson County, GA",GA,-9.921560238
13005,"Bacon County, GA",GA,-40.713597
13007,"Baker County, GA",GA,17.19195355
13009,"Baldwin County, GA",GA,-10.92013164
13011,"Banks County, GA",GA,-11.92547423
13013,"Barrow County, GA",GA,46.56361758
13015,"Bartow County, GA",GA,10.49100725
13017,"Ben Hill County, GA",GA,-10.8547441
13019,"Berrien County, GA",GA,8.217662438
13021,"Bibb County, GA",GA,-47.59866276
13023,"Bleckley County, GA",GA,4.661320263
13025,"Brantley County, GA",GA,-16.36629346
13027,"Brooks County, GA",GA,42.38019245
13029,"Bryan County, GA",GA,29.08594582
13031,"Bulloch County, GA",GA,4.695879748
13033,"Burke County, GA",GA,17.7278188
13035,"Butts County, GA",GA,0.658952188
13037,"Calhoun County, GA",GA,20.68738976
13039,"Camden County, GA",GA,-34.6426841
13043,"Candler County, GA",GA,36.02148008
13045,"Carroll County, GA",GA,-27.89800317
13047,"Catoosa County, GA",GA,-36.59419927
13049,"Charlton County, GA",GA,21.45420999
13051,"Chatham County, GA",GA,37.57373909
13053,"Chattahoochee County, GA",GA,-44.3165945
13055,"Chattooga County, GA",GA,-1.260855549
13057,"Cherokee County, GA",GA,13.69529119
13059,"Clarke County, GA",GA,22.03982709
13061,"Clay County, GA",GA,6.821755675
13063,"Clayton County, GA",GA,-35.29183258
13065,"Clinch County, GA",GA,43.09687098
13067,"Cobb County, GA",GA,47.24043065
13069,"Coffee County, GA",GA,-25.57114407
13071,"Colquitt County, GA",GA,-4.830243427
13073,"Columbia County, GA",GA,-15.00470917
13075,"Cook County, GA",GA,-28.71158466
13077,"Coweta County, GA",GA,-36.96051232
13079,"Crawford County, GA",GA,26.54384395
13081,"Crisp County, GA",GA,-35.89149643
13083,"Dade County, GA",GA,36.16241042
13085,"Dawson County, GA",GA,42.32700386
13089,"DeKalb County, GA",GA,-12.59371226
13087,"Decatur County, GA",GA,-45.03390174
13091,"Dodge County, GA",GA,36.93687972
13093,"Dooly County, GA",GA,-29.30773418
13095,"Dougherty County, GA",GA,-23.33978852
13097,"Douglas County, GA",GA,-22.48355074
13099,"Early County, GA",GA,-35.08509181
13101,"Echols County, GA",GA,-23.72601781
13103,"Effingham County, GA",GA,-15.7507586
13105,"Elbert County, GA",GA,-35.65773927
13107,"Emanuel County, GA",GA,38.59497451
13109,"Evans County, GA",GA,39.83413343
13111,"Fannin County, GA",GA,-30.56267087
13113,"Fayette County, GA",GA,5.138906762
13115,"Floyd County, GA",GA,4.6761463
13117,"Forsyth County, GA",GA,16.24915612
13119,"Franklin County, GA",GA,44.29580444
13121,"Fulton County, GA",GA,-21.6174704
13123,"Gilmer County, GA",GA,20.28252137
13125,"Glascock County, GA",GA,-26.01791079
13127,"Glynn County, GA",GA,19.88006574
13129,"Gordon County, GA",GA,-49.99237141
13131,"Grady County, GA",GA,29.38174379
13133,"Greene County, GA",GA,48.1033033
13135,"Gwinnett County, GA",GA,29.36085858
13137,"Habersham County, GA",GA,-6.565252237
13139,"Hall County, GA",GA,-32.45095487
13141,"Hancock County, GA",GA,10.83887549
13143,"Haralson County, GA",GA,15.17716161
13145,"Harris County, GA",GA,-10.99356376
13147,"Hart County, GA",GA,36.9019751
13149,"Heard County, GA",GA,15.11181187
13151,"Henry County, GA",GA,-11.81964382
13153,"Houston County, GA",GA,-42.23101177
13155,"Irwin County, GA",GA,-35.60692664
13157,"Jackson County, GA",GA,32.19107701
13159,"Jasper County, GA",GA,-6.13790523
13161,"Jeff Davis County, GA",GA,45.84543003
13163,"Jefferson County, GA",GA,8.382412665
13165,"Jenkins County, GA",GA,-12.14183633
13167,"Johnson County, GA",GA,-5.904063883
13169,"Jones County, GA",GA,-10.4867205
13171,"Lamar County, GA",GA,-17.45632577
13173,"Lanier County, GA",GA,-33.73202254
13175,"Laurens County, GA",GA,22.82750111
13177,"Lee County, GA",GA,33.42174341
13179,"Liberty County, GA",GA,35.33207571
13181,"Lincoln County, GA",GA,6.375254057
13183,"Long County, GA",GA,-25.02318652
13185,"Lowndes County, GA",GA,35.39167449
13187,"Lumpkin County, GA",GA,-34.29679347
13193,"Macon County, GA",GA,38.97341035
13195,"Madison County, GA",GA,-18.34137488
13197,"Marion County, GA",GA,47.41957018
13189,"McDuffie County, GA",GA,7.990769883
13191,"McIntosh County, GA",GA,16.15638516
13199,"Meriwether County, GA",GA,-42.1390784
13201,"Miller County, GA",GA,0.114734099
13205,"Mitchell County, GA",GA,38.84391373
13207,"Monroe County, GA",GA,-10.3127797
13209,"Montgomery County, GA",GA,-24.20543559
13211,"Morgan County, GA",GA,-0.523874725
13213,"Murray County, GA",GA,32.29964111
13215,"Muscogee County, GA",GA,47.64062034
13217,"Newton County, GA",GA,-1.83705684
13219,"Oconee County, GA",GA,4.554455505
13221,"Oglethorpe County, GA",GA,-3.106394601
13223,"Paulding County, GA",GA,7.74979235
13225,"Peach County, GA",GA,20.98530355
13227,"Pickens County, GA",GA,8.837009412
13229,"Pierce County, GA",GA,17.02462008
13231,"Pike County, GA",GA,-47.59796131
13233,"Polk County, GA",GA,-42.39687078
13235,"Pulaski County, GA",GA,-15.08215258
13237,"Putnam County, GA",GA,17.34821137
13239,"Quitman County, GA",GA,-33.43665393
13241,"Rabun County, GA",GA,16.2163282
13243,"Randolph County, GA",GA,-39.08571257
13245,"Richmond County, GA",GA,-47.98847403
13247,"Rockdale County, GA",GA,-7.369505848
13249,"Schley County, GA",GA,13.0323407
13251,"Screven County, GA",GA,-7.328757466
13253,"Seminole County, GA",GA,-18.07830993
13255,"Spalding County, GA",GA,-18.85380691
13257,"Stephens County, GA",GA,-34.07852756
13259,"Stewart County, GA",GA,48.57931647
13261,"Sumter County, GA",GA,30.26982051
13263,"Talbot County, GA",GA,-21.46432954
13265,"Taliaferro County, GA",GA,-35.93568076
13267,"Tattnall County, GA",GA,-32.29126951
13269,"Taylor County, GA",GA,31.97797776
13271,"Telfair County, GA",GA,-30.10607293
13273,"Terrell County, GA",GA,-11.15340723
13275,"Thomas County, GA",GA,45.13755044
13277,"Tift County, GA",GA,11.09709369
13279,"Toombs County, GA",GA,-4.27949918
13281,"Towns County, GA",GA,9.846795557
13283,"Treutlen County, GA",GA,-27.68966639
13285,"Troup County, GA",GA,15.00018055
13287,"Turner County, GA",GA,17.80652068
13289,"Twiggs County, GA",GA,16.93837412
13291,"Union County, GA",GA,-20.78538458
13293,"Upson County, GA",GA,40.88255957
13295,"Walker County, GA",GA,11.81416263
13297,"Walton County, GA",GA,-21.45367728
13299,"Ware County, GA",GA,40.91002808
13301,"Warren County, GA",GA,41.74211702
13303,"Washington County, GA",GA,35.62847288
13305,"Wayne County, GA",GA,-6.94526601
13307,"Webster County, GA",GA,48.0490665
13309,"Wheeler County, GA",GA,26.18237335
13311,"White County, GA",GA,0.324410402
13313,"Whitfield County, GA",GA,29.36354323
13315,"Wilcox County, GA",GA,2.866618013
13317,"Wilkes County, GA",GA,-27.683069
13319,"Wilkinson County, GA",GA,-41.37458121
13321,"Worth County, GA",GA,-11.4187669
66010,"Territory of Guam, GU",GU,32.53073461
15001,"Hawaii County, HI",HI,21.55927065
15003,"Honolulu County, HI",HI,12.95578678
15005,"Kalawao County, HI",HI,31.19453512
15007,"Kauai County, HI",HI,-3.481044707
15009,"Maui County, HI",HI,23.9372346
19001,"Adair County, IA",IA,37.76231638
19003,"Adams County, IA",IA,40.83419147
19005,"Allamakee County, IA",IA,3.389354427
19007,"Appanoose County, IA",IA,6.892418073
19009,"Audubon County, IA",IA,0.696000669
19011,"Benton County, IA",IA,19.0596868
19013,"Black Hawk County, IA",IA,46.02631024
19015,"Boone County, IA",IA,38.17891729
19017,"Bremer County, IA",IA,-10.98822781
19019,"Buchanan County, IA",IA,-39.00096459
19021,"Buena Vista County, IA",IA,22.49756073
19023,"Butler County, IA",IA,43.6883818
19025,"Calhoun County, IA",IA,15.69053286
19027,"Carroll County, IA",IA,-39.51572912
19029,"Cass County, IA",IA,44.29392788
19031,"Cedar County, IA",IA,-20.19531853
19033,"Cerro Gordo County, IA",IA,-7.519147922
19035,"Cherokee County, IA",IA,-36.6521373
19037,"Chickasaw County, IA",IA,8.471441599
19039,"Clarke County, IA",IA,-46.9854913
19041,"Clay County, IA",IA,38.107556
19043,"Clayton County, IA",IA,-7.596021439
19045,"Clinton County, IA",IA,42.37808541
19047,"Crawford County, IA",IA,-40.98850193
19049,"Dallas County, IA",IA,-46.87624623
19051,"Davis County, IA",IA,22.27264545
19053,"Decatur County, IA",IA,31.31599278
19055,"Delaware County, IA",IA,27.7677465
19057,"Des Moines County, IA",IA,-21.40455239
19059,"Dickinson County, IA",IA,3.600142338
19061,"Dubuque County, IA",IA,-19.59627314
19063,"Emmet County, IA",IA,25.45983195
19065,"Fayette County, IA",IA,24.53916962
19067,"Floyd County, IA",IA,10.02919649
19069,"Franklin County, IA",IA,26.90192629
19071,"Fremont County, IA",IA,-8.864606684
19073,"Greene County, IA",IA,38.73343206
19075,"Grundy County, IA",IA,6.092271096
19077,"Guthrie County, IA",IA,-33.40673999
19079,"Hamilton County, IA",IA,28.81793386
19081,"Hancock County, IA",IA,8.333319835
19083,"Hardin County, IA",IA,32.66257883
19085,"Harrison County, IA",IA,-34.43474885
19087,"Henry County, IA",IA,6.478015171
19089,"Howard County, IA",IA,35.68840771
19091,"Humboldt County, IA",IA,-48.54292178
19093,"Ida County, IA",IA,47.73928701
19095,"Iowa County, IA",IA,19.05406849
19097,"Jackson County, IA",IA,-28.01465328
